feeds_id,name,url,feed_type,media_id,media_name,media_url
69011,WalesOnline - Horoscopes - Leo Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/leo-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69012,WalesOnline - Ryder Cup 2010 - Ryder Cup News,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-news/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69013,WalesOnline - Ryder Cup 2010 - Videos & Pics,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/videos-and-pics/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69014,WalesOnline - Cardiff City News - Live,http://www.walesonline.co.uk/footballnation/cardiff-city/cardiff-city-fc/live/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69015,WalesOnline - Horoscopes - Aries Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/aries-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69016,WalesOnline - Horoscopes - Libra Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/libra-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69017,WalesOnline - Horoscopes - Virgo Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/virgo-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69018,WalesOnline - Life & Style - Wellbeing,http://www.walesonline.co.uk/showbiz-and-lifestyle/health-and-beauty-in-wales/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69019,WalesOnline - Rugby World Cup 2011 Archive - RWC pool stage stats,http://www.walesonline.co.uk/rugbynation/rugby-world-cup/rwc-pool-stage-stats/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69020,WalesOnline - Food & Drink - Wine & Beer,http://www.walesonline.co.uk/showbiz-and-lifestyle/food-in-wales/wine-and-beer/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69021,WalesOnline - Horoscopes - Cancer Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/cancer-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69022,WalesOnline - Horoscopes - Gemini Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/gemini-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69023,WalesOnline - Horoscopes - Pisces Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/pisces-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69024,WalesOnline - Horoscopes - Taurus Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/taurus-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69025,WalesOnline - Life & Style - Style & Shopping,http://www.walesonline.co.uk/showbiz-and-lifestyle/style-and-shopping-in-wales/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69026,WalesOnline - Farewell to Ninian - News,http://www.walesonline.co.uk/footballnation/farewell-to-ninian-park/ninian-news/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69027,WalesOnline - Horoscopes - Scorpio Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/scorpio-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69028,WalesOnline - Ryder Cup 2010 - Ryder Cup Schedule,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-schedule/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69029,WalesOnline - Swansea City News - Swans,http://www.walesonline.co.uk/footballnation/swanseacityfc/swansea-city-fc/swans/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69030,WalesOnline - Business Columnists - Robert Lloyd Griffiths,http://www.walesonline.co.uk/business-in-wales/columnists/robert-lloyd-griffiths/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69031,WalesOnline - Farewell to Ninian - Videos from Ninian,http://www.walesonline.co.uk/footballnation/farewell-to-ninian-park/ninian-video/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69032,WalesOnline - Horoscopes - Aquarius Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/aquarius-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69033,WalesOnline - Cardiff City News - citygoal,http://www.walesonline.co.uk/footballnation/cardiff-city/cardiff-city-fc/citygoal/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69034,WalesOnline - Horoscopes - Capricorn Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/capricorn-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69035,WalesOnline - Books - Book of the year,http://www.walesonline.co.uk/showbiz-and-lifestyle/books-in-wales/book-of-the-year/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69036,WalesOnline - Ryder Cup 2010 - Team Points,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-team-points/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69037,WalesOnline - Horoscopes - Sagittarius Horoscope,http://www.walesonline.co.uk/showbiz-and-lifestyle/horoscopes/sagittarius-horoscope/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69038,WalesOnline - Food & Drink - Eating out,http://www.walesonline.co.uk/showbiz-and-lifestyle/food-in-wales/eating-out-in-wales/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69039,WalesOnline - Ryder Cup 2010 - History and Stats,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-history-and-stats/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69040,WalesOnline - Team Points - USA Ryder Cup Rankings,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-team-points/ryder-cup-points-usa/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69041,WalesOnline - Book of the year - News,http://www.walesonline.co.uk/showbiz-and-lifestyle/books-in-wales/book-of-the-year/book-of-the-year-news/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69042,WalesOnline - Book of the year - Books,http://www.walesonline.co.uk/showbiz-and-lifestyle/books-in-wales/book-of-the-year/book-of-the-year-books/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69043,WalesOnline - Team Points - European Ryder Cup Rankings,http://www.walesonline.co.uk/sports/golf-news/ryder-cup-2010/ryder-cup-team-points/ryder-cup-points-europe/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69044,WalesOnline - Book of the year - Authors,http://www.walesonline.co.uk/showbiz-and-lifestyle/books-in-wales/book-of-the-year/book-of-the-year-authors/rss.xml,syndicated,39017,icWales,http://www.walesonline.co.uk/
69046,Tehran Times,http://tehrantimes.com/component/ninjarsssyndicator/?feed_id=1&format=raw,syndicated,39019,tehrantimes,http://tehrantimes.com/
134456,Controversy Spider Feed,http://tehrantimes.com/,syndicated,39019,tehrantimes,http://tehrantimes.com/
69106,وكالة أنباء البحرين > اقتصاد واعمال,http://www.bna.bh/portal/rss/5/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69107,وكالة أنباء البحرين > الاخبار الرياضية,http://www.bna.bh/portal/rss/6/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69108,وكالة أنباء البحرين > الاخبار العالمية,http://www.bna.bh/portal/rss/2/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69109,وكالة أنباء البحرين > الاخبار المحلية,http://www.bna.bh/portal/rss/1/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69110,وكالة أنباء البحرين > البرلمان,http://www.bna.bh/portal/rss/7/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69111,وكالة أنباء البحرين > منوعــــات,http://www.bna.bh/portal/rss/4/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69112,وكالة أنباء البحرين > أخبار تنفيذ مرئيات الحوار ,http://www.bna.bh/portal/rss/68/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69113,وكالة أنباء البحرين > الاخبار العربية,http://www.bna.bh/portal/rss/60/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69114,وكالة أنباء البحرين > الانتخابات التكميلية,http://www.bna.bh/portal/rss/72/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69115,وكالة أنباء البحرين > تقارير بنا,http://www.bna.bh/portal/rss/59/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69116,وكالة أنباء البحرين > ثقـافـــــــة,http://www.bna.bh/portal/rss/61/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
69117,وكالة أنباء البحرين,http://www.bna.bh/portal/main_rss/ar/feed.rss,syndicated,39043,bna,http://www.bna.bh/portal/main
182150,Controversy Spider Feed,http://www.bna.bh/portal/main,syndicated,39043,bna,http://www.bna.bh/portal/main
129405,sverigesradio-en,http://sverigesradio.se/,web_page,39051,sverigesradio-en,http://sverigesradio.se/
69617,LE FIGARO - Le Figaro  Web : l'actualité des réseaux,http://www.lefigaro.fr/rss/figaro_web.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69618,Flux complet de l’Avis du vin,http://www.lefigaro.fr/rss/figaro_vins.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69619,LE FIGARO - Le Figaro  Environnement,http://www.lefigaro.fr/rss/figaro_vert.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69620,LE FIGARO - Le Figaro  Golf : Actualité du golf et résultats en direct,http://www.lefigaro.fr/rss/figaro_golf.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69621,"LE FIGARO - Le Figaro - Santé : Actualité scientifique et médicale, médecine, santé, écologie",http://www.lefigaro.fr/rss/figaro_sante.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69622,"LE FIGARO - Le Figaro  Bourse et cotations : Actualités, cotations et cours des Sicav et FCP - Fonds Communs et Placement",http://www.lefigaro.fr/rss/figaro_sicav.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69623,LE FIGARO - Le Figaro  Consommation : Actualité et conseils pour bien consommer,http://www.lefigaro.fr/rss/figaro_conso.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69624,LE FIGARO - Le Figaro  Rugby : Actualité du top 14 et résultats des matches en direct,http://www.lefigaro.fr/rss/figaro_rugby.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69625,LE FIGARO - Le Figaro  Sports : Actualité sportive en direct,http://www.lefigaro.fr/rss/figaro_voile.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69626,LE FIGARO - Le Figaro  Sports : Actualité sportive en direct,http://www.lefigaro.fr/rss/figaro_sport.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69627,"LE FIGARO - Le Figaro Bourse  - Actualités financières, cotations et cours en direct",http://www.lefigaro.fr/rss/figaro_bourse.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69628,LE FIGARO - Le Figaro  Cinéma : Les films à l'affiche,http://www.lefigaro.fr/rss/figaro_cinema.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69629,LE FIGARO - Le Figaro  Emploi : Offres demploi avec Cadremploi.fr,http://www.lefigaro.fr/rss/figaro_emploi.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69630,LE FIGARO - Le Figaro  Impôts : Actualité et conseils sur la fiscalité et la gestion de patrimoine,http://www.lefigaro.fr/rss/figaro_impots.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69631,LE FIGARO - Le Figaro  Livres : Actualité de la littérature,http://www.lefigaro.fr/rss/figaro_livres.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69632,LE FIGARO - Le Figaro - Médias et Publicité : Actualité de l'audiovisuel et du cinéma,http://www.lefigaro.fr/rss/figaro_medias.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69633,LE FIGARO - Le Figaro  Photos,http://www.lefigaro.fr/rss/figaro_photos.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69634,LE FIGARO - Le Figaro  Tennis : Actualité des français et résultats des macthes en direct,http://www.lefigaro.fr/rss/figaro_tennis.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69635,LE FIGARO - Les Editos du Figaro - Les réactions à lactualité et débats de spécialistes,http://www.lefigaro.fr/rss/figaro_editos.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69636,LE FIGARO - Le Figaro  Actualité en direct et informations en continu,http://www.lefigaro.fr/rss/figaro_le-talk.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69637,"LE FIGARO - Le Figaro - Culture : Cinéma, théâtre, arts, expositions, musique et télévision",http://www.lefigaro.fr/rss/figaro_culture.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69638,LE FIGARO - Le Figaro  Musique : Actualité musicale,http://www.lefigaro.fr/rss/figaro_musique.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69639,LE FIGARO - Le Figaro  Théâtre : Les pièces à l'affiche,http://www.lefigaro.fr/rss/figaro_theatre.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69640,LE FIGARO - Lefigaro.fr : redécouvrez les balades familiales ou partez à la découverte du patrimoine.,http://www.lefigaro.fr/rss/figaro_voyages.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69641,"LE FIGARO - Le Figaro Economie - Actualité économique et financière, conseils en gestion de patrimoine",http://www.lefigaro.fr/rss/figaro_economie.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69642,"LE FIGARO - Le Figaro  Bourse de Paris : Actualité financière, cotations et cours en direct",http://www.lefigaro.fr/rss/figaro_societes.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69643,LE FIGARO - Le Figaro  Cyclisme : Actualité du cyclisme et du Tour de France,http://www.lefigaro.fr/rss/figaro_cyclisme.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69644,LE FIGARO - Le Figaro  Football : Actualité de la Ligue 1 et résultats des matches en direct,http://www.lefigaro.fr/rss/figaro_football.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69645,"LE FIGARO - Le Figaro  Retraite et succession : Actualité et conseils sur les retraites, la succession et la gestion de patrimoine",http://www.lefigaro.fr/rss/figaro_retraite.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69646,LE FIGARO - Le Figaro - Politique - L'actualité du gouvernement et de l'opposition,http://www.lefigaro.fr/rss/figaro_politique.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
69647,LE FIGARO - Le Figaro  Assurance : Actualité et conseils pour lassurance et la gestion de patrimoine,http://www.lefigaro.fr/rss/figaro_assurance.xml,syndicated,39120,lefigaro,http://www.lefigaro.fr/
