media_id,media_name,media_url
6488,Rupee News,http://rupeenews.com
6761,The Oakland Press Blogs: Skoop's Blog,http://skoopsblog.blogspot.com
7014,Environment blog | Environment | guardian.co.uk,http://www.guardian.co.uk/environment/blog
7193,Technology - Bits Blog - NYTimes.com,http://bits.blogs.nytimes.com
7207,Technology | Internet land grabbers snatch up .co domain names | Los Angeles Times,http://latimesblogs.latimes.com/technology
7233,"Breaking News, Business News, Technology News | WebProNews",http://www.webpronews.com
7259,Unhealthily Obsessed With Mobile Content | mocoNews,http://moconews.net/
7324,RT – Latest News,http://rt.com
7325,Press TV,http://presstv.com
17973,"NDTV.com: India, Business, Bollywood, Cricket, Video and Breaking News",http://www.ndtv.com/
18023,Punch,http://www.punchng.com/
18177,Ames Tribune > Front,http://www.amestrib.com/
18203,الجزيرة نت,http://aljazeera.net
18208,الأهرام اليومى,http://www.ahram.org.eg
18268,Politico,http://politico.com
18332,current.com,http://current.com
18350,deadline.com,http://www.deadline.com
18364,The Hill,http://thehill.com
18434,nationaljournal.com,http://www.nationaljournal.com
18446,techland.com,http://techland.com
18468,activistpost.com,http://www.activistpost.com
18476,newsandinsight.thomsonreuters.com,http://newsandinsight.thomsonreuters.com
18482,bloomberg.com,http://www.bloomberg.com
18496,hollywoodreporter.com,http://www.hollywoodreporter.com
18500,news.com.au,http://www.news.com.au
18503,euractiv.com,http://www.euractiv.com
18505,news.mongabay.com,http://news.mongabay.com
18515,infowars.com,http://www.infowars.com
18526,broadcastingcable.com,http://www.broadcastingcable.com
18540,thestar.com,http://www.thestar.com
18567,articles.latimes.com,http://articles.latimes.com
18573,onthemedia.org,http://www.onthemedia.org
18626,biggovernment.com,http://biggovernment.com
18658,weeklystandard.com,http://www.weeklystandard.com
18672,copyfight.corante.com,http://copyfight.corante.com
18687,adweek.com,http://www.adweek.com
18697,dajaz1.com,http://dajaz1.com
18704,thewrap.com,http://www.thewrap.com
18733,oregonlive.com,http://www.oregonlive.com
18744,rawstory.com,http://www.rawstory.com
18775,dailycaller.com,http://dailycaller.com
