media_id,media_name,media_url
1296,The Overland Examiner,http://overlandexaminer.org/
1297,St. Louis Schools Blog,http://stlschools.org/
1298,DiatribeR ,http://www.diatriber.com/
1299,STLmedia.net,http://stlmedia.net/
1300,StlRecruiting,http://stlrecruiting.com/
1301,STL Syndicate,http://www.stlsyndicate.com/
1302,Urban Review STL  ,http://www.urbanreviewstl.com/
1303,A Veggie Venture,http://kitchen-parade-veggieventure.blogspot.com/
1304,What's New in Old North,http://onsl.org/blog/
1306,All Around Cleveland,http://www.allaroundcleveland.com/site/news.asp?brd=2211
1307,Chagrin Valley Times,http://www.chagrinvalleytimes.com/
1309,Cleveland Jewish News,http://www.clevelandjewishnews.com/
1310,Cleveland Stater,http://www.csuohio.edu/class/com/clevelandstater/
1311,Crain's Cleveland Business,http://www.crainscleveland.com/apps/pbcs.dll/frontpage
1312,Euclid Sun Journal,http://www.cleveland.com/euclidsunjournal/
1315,Maple Heights Press,http://www.mapleheightspress.com/
1316,Solon Sun - cleveland.com,http://www.cleveland.com/solonsun/index.ssf
1317,The Observer,http://www.cwruobserver.com/
1319,WEWS ABC,http://www.newsnet5.com/index.html
1320,WJW Fox,http://www.myfoxcleveland.com/myfox/
1321,WKYC NBC,http://www.wkyc.com/
1322,WOIO CBS,http://www.woio.com/
1324,WUAB,http://www.my43.net/
1325,WCPN,http://www.wcpn.org/
1326,WTAM,http://wtam.com/main.html
1327,WHK,http://whkradio.townhall.com/
1330,CoolCleveland,http://www.coolcleveland.com/
1331,Cuyahoga County Planning Commission Weblog,http://planning.co.cuyahoga.oh.us/blog/
1333,Meet the Bloggers,http://meetthebloggers.net/
1334,REALNEO.US,http://realneo.us/
1337,Biscayne Times Online,http://biscaynetimes.com/
1338,Boca Raton News,http://www.bocanews.com/
1339,Daily Business Review,http://www.dailybusinessreview.com/
1340,Coral Gables Gazette,http://cggazette.com/
1341,Jupiter Courier,http://www.tcpalm.com/tcp/jupiter_courier/
1342,Miami New Times,http://www.miaminewtimes.com/
1343,Miami Today News,http://miamitodaynews.com/
1344,Palm Beach Daily News,http://www.palmbeachdailynews.com/
1345,South Dade News Leader,http://southdadenewsleader.com/
1346,Miami's Community Newspapers,http://www.communitynewspapers.com
1347,South Florida Business Journal,http://southflorida.bizjournals.com/southflorida/
1348,WPBT PBS,http://channel2.org/
1349,WFOR CBS 4,http://cbs4.com/
1350,WTVJ NBC 6,http://www.nbc6.net/index.html
1351,WSVN FOX,http://www4.wsvn.com/
1352,WPLG ABC,http://www.local10.com/index.html
1353, WLRN PBS,http://www.wlrn.org/web/index.php
1354,WSBS,http://mega.tv/
1355,WBFS My Network TV,http://cbs4.com/wbfs/
1356,WSFL-TV The CW,http://sfl.southflorida.com/pages/main
1357,WHDT | MIG Broadcast Group,http://whdt.net/
1358,WSCV Telemundo,http://www.telemundo51.com/index.html
1359,WPTV NBC,http://www.wptv.com/default.aspx
1360,WPEC CBS,http://www.cbs12.com/
1361,WPBF ABC,http://www.wpbf.com/index.html
1362,WFLX FOX,http://www.wflx.com/
1363,WTVX The CW,http://www.34cwtv.com/default.aspx
1364,WXEL PBS,http://wxel.org/index.php?sid=f3cd48518ca91b22947d03c1290fd60f
1365,WTCN-CA,http://www.34cwtv.com/content/wtcn/default.aspx
1366,WQAM,http://wqam.com/
1367,WIOD,http://610wiod.com/main.html
1368,WFTL,http://jamescrystalradio.com/
1369,WINZ,http://www.am940southflorida.com/main.html
1370,WAXY,http://790theticket.com/
1371,WKAT,http://1360wkat.com/pcsite/home-1.htm
1372,Infomaniac: Behind the News,http://newsresearch.blogspot.com/
1373,Coral Gables,http://coral-gables.blogspot.com/
1374,Critical Miami,http://criticalmiami.com/
1376,The Daily Pulp: Bob Norman's Blog,http://blogs.browardpalmbeach.com/pulp/
1377,Dave Barry's Blog,http://blogs.herald.com/dave_barrys_blog/
1378,hidden city,http://hiddencity.net/
1379,Miami Metblogs,http://miami.metblogs.com/
1380,Miami Beach 411,http://www.miamibeach411.com/
1382,Miami Beach Blog ,http://miamibeachblog.com/
1383,Miamist,http://miamist.com/index.php
1384,Miamista,http://miamista.blogspot.com
1385,Overtown USA,http://overtownusa.blogspot.com/
1386,sex and the beach,http://sexandthebeach.blogspot.com/
1387,South Florida,http://so-fla.blogspot.com/
1389, William M. Hartnett,http://www.wmhartnett.com/
1390,33154 Buzz,http://33154buzz.blogspot.com/
1391,The Beaverton Valley Times,http://beavertonvalleytimes.com/news/index.php
1392,Canby Herald,http://canbyherald.com/
1393,Daily Journal of Commerce,http://www.djcoregon.com/home.htm
1394,Estacada News,http://estacadanews.com/news/index.php
1395,Hillsboro Argus,http://www.oregonlive.com/argus/
1396,Lake Oswego Review,http://lakeoswegoreview.com/news/index.php
1397,Forest Grove News-Times,http://fgnewstimes.com/news/index.php
1398,Portland Mercury,http://www.portlandmercury.com/portland/home
1399,The Sandy Post,http://sandypost.com/news/index.php
1400,The Times,http://tigardtimes.com/news/index.php
1401,West Linn Tidings,http://westlinntidings.com/news/index.php
1402,Willamette Week,http://wweek.com/
1403,Wilsonville Spokesman,http://wilsonvillenews.com/
1404,KATU ABC,http://www.katu.com/
1406,KOIN CBS,http://www.koinlocal6.com/default.aspx
1407,KGW NBC,http://www.kgw.com/
1409,KOPB,http://www.opb.org/
1410,KPTV FOX 12,http://www.kptv.com/index.html
1411,KUNP-LP Univision ,http://kunptv.com/
1412,KPDX My Network TV ,http://www.kpdx.com/index.html
1413,KPOJ,http://620kpoj.com/main.html
1414,KXL,http://kxl.com/
1415,KCMD,http://www.970.am/
1416,KFXX,http://www.1080thefan.com/
1417,KEX,http://1190kex.com/main.html
1418,KBNP ,http://www.kbnp.com/home.html
1419,Altportland.com,http://www.altportland.com/
1420,"Blogtown, PDX",http://blogtown.portlandmercury.com/blogs/blogtownpdx/
1421,BootsnAll Travel Network,http://www.bootsnall.com/
1422,CommissionerSam.com,http://www.commissionersam.com/
1423,East PDX News,http://www.eastpdxnews.com/
1424,Future of Real Estate Marketing - Real Estate 2.0,http://www.futureofrealestatemarketing.com/
1425,Heardinmycab,http://heardinmycab.blogspot.com/
1426,Portland Metblogs,http://portland.metblogs.com/
1427, Mid-county Memo Blog ,http://midcountymemo.com/memlog/
1428,The Multnomah Villager  ,http://www.multnomahvillager.com/
1429,Newsdesigner.com,http://newsdesigner.com/blog/
1430,Michael Durham Photography,http://oregonwild.blogspot.com/
1431,Portland Communique,http://communique.portland.or.us/
1432,Portland Ground,http://www.portlandground.com/
1433,Portland Kid Stuff,http://www.blogcatalog.com/blogs/portland-kid-stuff.html
1434,PortlandPics Photography,http://www.portlandpics.com/
1435, Portland Public Art,http://portlandpublicart.wordpress.com/
1436,The Portland Alliance,http://theportlandalliance.org/
1437,The Oregonian's Public Editor,http://www.oregonlive.com/weblogs/publiceditor/
1438,Tech Drool,http://caffeinepete.blogspot.com/
1439,Bartlesville Examiner-Enterprise,http://examiner-enterprise.com/
1441,Neighbor Newspapers,http://neo.neighbornews.com/
1442,Claremore Daily Progress,http://claremoreprogress.com/
1447,Pawhuska Journal Capital,http://www.pawhuskajournalcapital.com/
1448,Sapulpa Herald Online,http://www.sapulpaheraldonline.com/
1451,KJRH NBC,http://www.kjrh.com/default.aspx
1452,KOTV CBS,http://www.newson6.com/
1455,Tulsa Beacon,http://www.tulsabeacon.com
1457,http://www.clevelandamerican.com,http://www.clevelandamerican.com
1460,Oologah Lake Leader Online,http://www.oologah.net
1461,The Bigheart Times,http://www.bighearttimes.com
1467,KBIX/KYAL,http://www.sportsanimaltulsa.com
1468,KRMG,http://krmg.com
1469,KFAQ,http://1170kfaq.com
1470,KAKC,http://www.1300kakc.com/main.html
1471,The Diag - MLive.com,http://blog.mlive.com/thediag/
1472, YpsiNews.com,http://ypsinews.com
1473,Jim Carty's Analysis and Opinion ,http://blog.mlive.com/jim_carty/
1474,ypsi~dixit,http://www.ypsidixit.com/blog/
1475,Arbor Update,http://www.arborupdate.com
1476,Ann Arbor News,http://blog.mlive.com/annarbornews/
1477,Overheard in Ann Arbor,http://overheardina2.blogspot.com
1478,Ann Arbor After Dark,http://blog.mlive.com/ann_arbor_after_dark/
1479,Ann Arbor News Extra,http://blog.mlive.com/ann_arbor_news_extra/
1480,"Vacuum - Edward Vielmetti in Ann Arbor, Michigan 48104",http://vielmetti.typepad.com/vacuum/
1481,Ann Arbor is Overrated,http://www.annarborisoverrated.com
1482,Carfree Ann Arbor,http://cfa2.blogspot.com
1483,The Chelsea Blog,http://chelsea-mi.blogspot.com
1484,WAAM,http://www.waamannarbor.com
1486,Chelsea Standard,http://www.chelseastandard.com
1487,WUOM,http://www.michiganradio.org
1489,WTKA,http://www.wtka.com
1490,MLive.com,http://www.mlive.com
1492,The Michigan Daily,http://www.michigandaily.com
1493,Dexter Leader,http://www.dexterleader.com
1496,WLOS ABC,http://www.wlos.com
